id,spanish,english,type
w_0001,aeropuerto,airport,word
w_0002,estacion,station,word
w_0003,parada,stop,word
w_0004,tren,train,word
w_0005,autobus,bus,word
w_0006,metro,subway,word
w_0007,taxi,taxi,word
w_0008,avion,plane,word
w_0009,vuelo,flight,word
w_0010,equipaje,luggage,word
w_0011,maleta,suitcase,word
w_0012,pasaporte,passport,word
w_0013,billete,ticket,word
w_0014,andén,platform,word
w_0015,puerta,gate,word
w_0016,mapa,map,word
w_0017,ruta,route,word
w_0018,calle,street,word
w_0019,avenida,avenue,word
w_0020,plaza,square,word
w_0021,hotel,hotel,word
w_0022,hostal,guesthouse,word
w_0023,reserva,reservation,word
w_0024,habitacion,room,word
w_0025,llave,key,word
w_0026,playa,beach,word
w_0027,montana,mountain,word
w_0028,museo,museum,word
w_0029,entrada,entrance ticket,word
w_0030,salida,exit,word
w_0031,izquierda,left,word
w_0032,derecha,right,word
w_0033,recto,straight ahead,word
w_0034,cerca,near,word
w_0035,lejos,far,word
w_0036,cruce,intersection,word
w_0037,puente,bridge,word
w_0038,carretera,road,word
w_0039,ciudad,city,word
w_0040,pueblo,town,word
w_0041,viaje,trip,word
w_0042,turista,tourist,word
w_0043,guia,guide,word
w_0044,horario,schedule,word
w_0045,retraso,delay,word
w_0046,cancelacion,cancellation,word
w_0047,asiento,seat,word
w_0048,ventanilla,window seat,word
w_0049,pasillo,aisle seat,word
w_0050,destino,destination,word
w_0051,donde esta la estacion,where is the station,phrase
w_0052,donde esta el aeropuerto,where is the airport,phrase
w_0053,donde esta el hotel,where is the hotel,phrase
w_0054,donde esta el museo,where is the museum,phrase
w_0055,donde esta la playa,where is the beach,phrase
w_0056,donde esta el centro,where is the center,phrase
w_0057,donde esta la parada,where is the stop,phrase
w_0058,donde esta la taquilla,where is the ticket office,phrase
w_0059,donde esta la puerta de embarque,where is the boarding gate,phrase
w_0060,donde esta el andén,where is the platform,phrase
w_0061,donde esta la recepcion,where is the reception,phrase
w_0062,donde esta el baño,where is the bathroom,phrase
w_0063,donde esta el mapa,where is the map,phrase
w_0064,donde esta el autobus,where is the bus,phrase
w_0065,donde esta el metro,where is the subway,phrase
w_0066,como llego a la estacion,how do I get to the station,phrase
w_0067,como llego a el aeropuerto,how do I get to the airport,phrase
w_0068,como llego a el hotel,how do I get to the hotel,phrase
w_0069,como llego a el museo,how do I get to the museum,phrase
w_0070,como llego a la playa,how do I get to the beach,phrase
