id,spanish,english,type
w_0001,pan,bread,word
w_0002,arroz,rice,word
w_0003,pasta,pasta,word
w_0004,huevo,egg,word
w_0005,queso,cheese,word
w_0006,leche,milk,word
w_0007,mantequilla,butter,word
w_0008,aceite,oil,word
w_0009,sal,salt,word
w_0010,azucar,sugar,word
w_0011,pimienta,pepper,word
w_0012,pollo,chicken,word
w_0013,ternera,beef,word
w_0014,cerdo,pork,word
w_0015,pescado,fish,word
w_0016,marisco,seafood,word
w_0017,ensalada,salad,word
w_0018,sopa,soup,word
w_0019,patata,potato,word
w_0020,tomate,tomato,word
w_0021,cebolla,onion,word
w_0022,ajo,garlic,word
w_0023,zanahoria,carrot,word
w_0024,manzana,apple,word
w_0025,platano,banana,word
w_0026,naranja,orange,word
w_0027,fresa,strawberry,word
w_0028,uva,grape,word
w_0029,agua,water,word
w_0030,zumo,juice,word
w_0031,cafe,coffee,word
w_0032,te,tea,word
w_0033,cerveza,beer,word
w_0034,vino,wine,word
w_0035,desayuno,breakfast,word
w_0036,almuerzo,lunch,word
w_0037,cena,dinner,word
w_0038,postre,dessert,word
w_0039,camarero,waiter,word
w_0040,cuenta,bill,word
w_0041,menu,menu,word
w_0042,cuchara,spoon,word
w_0043,tenedor,fork,word
w_0044,cuchillo,knife,word
w_0045,plato,plate,word
w_0046,vaso,glass,word
w_0047,taza,cup,word
w_0048,botella,bottle,word
w_0049,servilleta,napkin,word
w_0050,restaurante,restaurant,word
w_0051,quiero una mesa,I want a table,phrase
w_0052,quiero el menu,I want the menu,phrase
w_0053,quiero la cuenta,I want the bill,phrase
w_0054,quiero agua sin gas,I want still water,phrase
w_0055,quiero agua con gas,I want sparkling water,phrase
w_0056,quiero una tapa,I want a tapa,phrase
w_0057,quiero el plato del dia,I want the dish of the day,phrase
w_0058,quiero un cafe solo,I want an espresso,phrase
w_0059,quiero un cafe con leche,I want coffee with milk,phrase
w_0060,quiero una cerveza fria,I want a cold beer,phrase
w_0061,quiero una botella de vino,I want a bottle of wine,phrase
w_0062,quiero pan extra,I want extra bread,phrase
w_0063,quiero una ensalada,I want a salad,phrase
w_0064,quiero una sopa,I want a soup,phrase
w_0065,quiero un postre,I want a dessert,phrase
w_0066,prefiero una mesa,I prefer a table,phrase
w_0067,prefiero el menu,I prefer the menu,phrase
w_0068,prefiero la cuenta,I prefer the bill,phrase
w_0069,prefiero agua sin gas,I prefer still water,phrase
w_0070,prefiero agua con gas,I prefer sparkling water,phrase
w_0071,prefiero una tapa,I prefer a tapa,phrase
w_0072,prefiero el plato del dia,I prefer the dish of the day,phrase
w_0073,prefiero un cafe solo,I prefer an espresso,phrase
w_0074,prefiero un cafe con leche,I prefer coffee with milk,phrase
w_0075,prefiero una cerveza fria,I prefer a cold beer,phrase
w_0076,prefiero una botella de vino,I prefer a bottle of wine,phrase
w_0077,prefiero pan extra,I prefer extra bread,phrase
w_0078,prefiero una ensalada,I prefer a salad,phrase
w_0079,prefiero una sopa,I prefer a soup,phrase
w_0080,prefiero un postre,I prefer a dessert,phrase
w_0081,tomo una mesa,I take a table,phrase
w_0082,tomo el menu,I take the menu,phrase
w_0083,tomo la cuenta,I take the bill,phrase
w_0084,tomo agua sin gas,I take still water,phrase
w_0085,tomo agua con gas,I take sparkling water,phrase
w_0086,tomo una tapa,I take a tapa,phrase
w_0087,tomo el plato del dia,I take the dish of the day,phrase
w_0088,tomo un cafe solo,I take an espresso,phrase
w_0089,tomo un cafe con leche,I take coffee with milk,phrase
w_0090,tomo una cerveza fria,I take a cold beer,phrase
w_0091,tomo una botella de vino,I take a bottle of wine,phrase
w_0092,tomo pan extra,I take extra bread,phrase
w_0093,tomo una ensalada,I take a salad,phrase
w_0094,tomo una sopa,I take a soup,phrase
w_0095,tomo un postre,I take a dessert,phrase
w_0096,pido una mesa,I order a table,phrase
w_0097,pido el menu,I order the menu,phrase
w_0098,pido la cuenta,I order the bill,phrase
w_0099,pido agua sin gas,I order still water,phrase
w_0100,pido agua con gas,I order sparkling water,phrase
w_0101,pido una tapa,I order a tapa,phrase
w_0102,pido el plato del dia,I order the dish of the day,phrase
w_0103,pido un cafe solo,I order an espresso,phrase
w_0104,pido un cafe con leche,I order coffee with milk,phrase
w_0105,pido una cerveza fria,I order a cold beer,phrase
w_0106,pido una botella de vino,I order a bottle of wine,phrase
