id,spanish,english,type
w_0001,hola,hello,word
w_0002,adiós,goodbye,word
w_0003,buenos días,good morning,word
w_0004,buenas tardes,good afternoon,word
w_0005,buenas noches,good evening/night,word
w_0006,hasta luego,see you later,word
w_0007,hasta mañana,see you tomorrow,word
w_0008,¿qué tal?,how's it going?,phrase
w_0009,bien,well,word
w_0010,muy bien,very well,phrase
w_0011,gracias,thank you,word
w_0012,por favor,please,phrase
w_0013,encantado/encantada,nice to meet you,word
w_0014,mucho gusto,nice to meet you,phrase
w_0015,me llamo…,my name is…,phrase
w_0016,¿cómo te llamas?,what's your name?,phrase
w_0017,¿cómo se llama?,what's your name? (formal),phrase
w_0018,se llama…,his/her name is…,phrase
w_0019,soy…,I am…,phrase
w_0020,¿quién es…?,who is…?,phrase
w_0021,este/esta es…,this is…,phrase
w_0022,le presento a…,let me introduce…,phrase
w_0023,y tú,and you?,phrase
w_0024,¿de dónde es…?,where is… from?,phrase
w_0025,soy de…,I am from…,phrase
w_0026,vivo en…,I live in…,phrase
w_0027,¿cómo se escribe tu nombre?,how do you spell your name?,phrase
w_0028,"más despacio, por favor","more slowly, please",phrase
w_0029,"¿puedes repetir, por favor?","can you repeat, please?",phrase
w_0030,¿cómo se dice … en español?,how do you say … in Spanish?,phrase
w_0031,se dice…,you say…,phrase
w_0032,¿está bien así?,is it ok like this?,phrase
w_0033,"sí, muy bien","yes, very well",phrase
w_0034,cuaderno,notebook,word
w_0035,señor,Mr.,word
w_0036,señora,Mrs./Ms.,word
w_0037,¿cómo estás?,how are you?,phrase
w_0038,nombre,name,word
w_0039,apellidos,surnames,word
w_0040,nacionalidad,nationality,word
w_0041,profesión,profession,word
w_0042,edad,age,word
w_0043,ciudad,city,word
w_0044,país,country,word
w_0045,origen,origin,word
w_0046,estudios,studies,word
w_0047,lengua,language,word
w_0048,hablar,to speak,word
w_0049,clase,class,word
w_0050,compañero/compañera,classmate,word
w_0051,estudiante,student,word
w_0052,profesor/profesora,teacher,word
w_0053,universidad,university,word
w_0054,medicina,medicine (field),word
w_0055,trabajo,work/job,word
w_0056,trabajar,to work,word
w_0057,Asia,Asia,word
w_0058,África,Africa,word
w_0059,Europa,Europe,word
w_0060,América,America,word
w_0061,Oceanía,Oceania,word
