id,spanish,english,type
w_0001,cabeza,head,word
w_0002,ojo,eye,word
w_0003,oreja,ear,word
w_0004,nariz,nose,word
w_0005,boca,mouth,word
w_0006,diente,tooth,word
w_0007,cuello,neck,word
w_0008,hombro,shoulder,word
w_0009,brazo,arm,word
w_0010,mano,hand,word
w_0011,dedo,finger,word
w_0012,pecho,chest,word
w_0013,espalda,back,word
w_0014,estomago,stomach,word
w_0015,pierna,leg,word
w_0016,rodilla,knee,word
w_0017,pie,foot,word
w_0018,corazon,heart,word
w_0019,sangre,blood,word
w_0020,salud,health,word
w_0021,medico,doctor,word
w_0022,enfermera,nurse,word
w_0023,farmacia,pharmacy,word
w_0024,hospital,hospital,word
w_0025,cita,appointment,word
w_0026,medicina,medicine,word
w_0027,pastilla,pill,word
w_0028,jarabe,syrup,word
w_0029,inyeccion,injection,word
w_0030,receta,prescription,word
w_0031,fiebre,fever,word
w_0032,tos,cough,word
w_0033,dolor,pain,word
w_0034,mareo,dizziness,word
w_0035,nauseas,nausea,word
w_0036,cansancio,fatigue,word
w_0037,frio,cold (illness),word
w_0038,gripe,flu,word
w_0039,alergia,allergy,word
w_0040,herida,wound,word
w_0041,sano,healthy,word
w_0042,enfermo,sick,word
w_0043,descanso,rest,word
w_0044,sueño,sleep,word
w_0045,agua,water,word
w_0046,ejercicio,exercise,word
w_0047,respirar,to breathe,word
w_0048,caminar,to walk,word
w_0049,comer sano,eat healthy,word
w_0050,bienestar,wellbeing,word
w_0051,necesito la cabeza,I need head,phrase
w_0052,necesito el estomago,I need stomach,phrase
w_0053,necesito la espalda,I need back,phrase
w_0054,necesito la pierna,I need leg,phrase
w_0055,necesito la rodilla,I need knee,phrase
w_0056,necesito el brazo,I need arm,phrase
w_0057,necesito medicina,I need medicine,phrase
w_0058,necesito una pastilla,I need a pill,phrase
w_0059,necesito agua,I need water,phrase
w_0060,necesito descanso,I need rest,phrase
w_0061,necesito una cita medica,I need a doctor appointment,phrase
w_0062,necesito una receta,I need a prescription,phrase
w_0063,necesito jarabe,I need syrup,phrase
w_0064,necesito ejercicio,I need exercise,phrase
w_0065,necesito ayuda,I need help,phrase
w_0066,tomo la cabeza,I take head,phrase
w_0067,tomo el estomago,I take stomach,phrase
w_0068,tomo la espalda,I take back,phrase
w_0069,tomo la pierna,I take leg,phrase
w_0070,tomo la rodilla,I take knee,phrase
w_0071,tomo el brazo,I take arm,phrase
w_0072,tomo medicina,I take medicine,phrase
w_0073,tomo una pastilla,I take a pill,phrase
w_0074,tomo agua,I take water,phrase
w_0075,tomo descanso,I take rest,phrase
w_0076,tomo una cita medica,I take a doctor appointment,phrase
w_0077,tomo una receta,I take a prescription,phrase
w_0078,tomo jarabe,I take syrup,phrase
w_0079,tomo ejercicio,I take exercise,phrase
w_0080,tomo ayuda,I take help,phrase
w_0081,evito la cabeza,I avoid head,phrase
w_0082,evito el estomago,I avoid stomach,phrase
w_0083,evito la espalda,I avoid back,phrase
w_0084,evito la pierna,I avoid leg,phrase
