id,spanish,english,type
w_0001,hola,hello,word
w_0002,adios,goodbye,word
w_0003,hasta luego,see you later,word
w_0004,por favor,please,word
w_0005,gracias,thank you,word
w_0006,de nada,you are welcome,word
w_0007,lo siento,sorry,word
w_0008,perdon,excuse me,word
w_0009,si,yes,word
w_0010,no,no,word
w_0011,quizas,maybe,word
w_0012,claro,of course,word
w_0013,vale,okay,word
w_0014,hoy,today,word
w_0015,manana,tomorrow,word
w_0016,ayer,yesterday,word
w_0017,ahora,now,word
w_0018,luego,later,word
w_0019,siempre,always,word
w_0020,nunca,never,word
w_0021,a veces,sometimes,word
w_0022,mucho,a lot,word
w_0023,poco,a little,word
w_0024,mas,more,word
w_0025,menos,less,word
w_0026,grande,big,word
w_0027,pequeno,small,word
w_0028,nuevo,new,word
w_0029,viejo,old,word
w_0030,bueno,good,word
w_0031,malo,bad,word
w_0032,facil,easy,word
w_0033,dificil,difficult,word
w_0034,rapido,fast,word
w_0035,lento,slow,word
w_0036,caliente,hot,word
w_0037,frio,cold,word
w_0038,amigo,friend,word
w_0039,familia,family,word
w_0040,casa,house,word
w_0041,calle,street,word
w_0042,coche,car,word
w_0043,dinero,money,word
w_0044,tiempo,time,word
w_0045,nombre,name,word
w_0046,pregunta,question,word
w_0047,respuesta,answer,word
w_0048,izquierda,left,word
w_0049,derecha,right,word
w_0050,arriba,up,word
w_0051,abajo,down,word
w_0052,cerca,near,word
w_0053,lejos,far,word
w_0054,primero,first,word
w_0055,ultimo,last,word
w_0056,antes,before,word
w_0057,despues,after,word
w_0058,porque,because,word
w_0059,entonces,then,word
w_0060,solo,only,word
w_0061,tambien,also,word
w_0062,nada,nothing,word
w_0063,todo,everything,word
w_0064,yo necesito ayuda,I need help,phrase
w_0065,yo necesito agua,I need water,phrase
w_0066,yo necesito informacion,I need information,phrase
w_0067,yo necesito un descanso,I need a break,phrase
w_0068,yo necesito el billete,I need the ticket,phrase
w_0069,yo necesito la direccion,I need the address,phrase
w_0070,yo necesito la clave,I need the password,phrase
w_0071,yo necesito la respuesta,I need the answer,phrase
w_0072,yo necesito el numero,I need the number,phrase
w_0073,yo necesito el mapa,I need the map,phrase
w_0074,yo quiero ayuda,I want help,phrase
w_0075,yo quiero agua,I want water,phrase
w_0076,yo quiero informacion,I want information,phrase
w_0077,yo quiero un descanso,I want a break,phrase
w_0078,yo quiero el billete,I want the ticket,phrase
w_0079,yo quiero la direccion,I want the address,phrase
w_0080,yo quiero la clave,I want the password,phrase
w_0081,yo quiero la respuesta,I want the answer,phrase
w_0082,yo quiero el numero,I want the number,phrase
w_0083,yo quiero el mapa,I want the map,phrase
w_0084,yo puedo ayuda,I can help,phrase
w_0085,yo puedo agua,I can water,phrase
w_0086,yo puedo informacion,I can information,phrase
w_0087,yo puedo un descanso,I can a break,phrase
w_0088,yo puedo el billete,I can the ticket,phrase
w_0089,yo puedo la direccion,I can the address,phrase
w_0090,yo puedo la clave,I can the password,phrase
w_0091,yo puedo la respuesta,I can the answer,phrase
w_0092,yo puedo el numero,I can the number,phrase
w_0093,yo puedo el mapa,I can the map,phrase
w_0094,yo debo ayuda,I must help,phrase
w_0095,yo debo agua,I must water,phrase
w_0096,yo debo informacion,I must information,phrase
w_0097,yo debo un descanso,I must a break,phrase
w_0098,yo debo el billete,I must the ticket,phrase
w_0099,yo debo la direccion,I must the address,phrase
w_0100,yo debo la clave,I must the password,phrase
w_0101,yo debo la respuesta,I must the answer,phrase
w_0102,yo debo el numero,I must the number,phrase
w_0103,yo debo el mapa,I must the map,phrase
w_0104,yo prefiero ayuda,I prefer help,phrase
w_0105,yo prefiero agua,I prefer water,phrase
w_0106,yo prefiero informacion,I prefer information,phrase
w_0107,yo prefiero un descanso,I prefer a break,phrase
w_0108,yo prefiero el billete,I prefer the ticket,phrase
w_0109,yo prefiero la direccion,I prefer the address,phrase
w_0110,yo prefiero la clave,I prefer the password,phrase
w_0111,yo prefiero la respuesta,I prefer the answer,phrase
w_0112,yo prefiero el numero,I prefer the number,phrase
w_0113,yo prefiero el mapa,I prefer the map,phrase
w_0114,yo entiendo ayuda,I understand help,phrase
w_0115,yo entiendo agua,I understand water,phrase
w_0116,yo entiendo informacion,I understand information,phrase
w_0117,yo entiendo un descanso,I understand a break,phrase
w_0118,yo entiendo el billete,I understand the ticket,phrase
w_0119,yo entiendo la direccion,I understand the address,phrase
w_0120,yo entiendo la clave,I understand the password,phrase
w_0121,yo entiendo la respuesta,I understand the answer,phrase
w_0122,yo entiendo el numero,I understand the number,phrase
w_0123,yo entiendo el mapa,I understand the map,phrase
w_0124,yo busco ayuda,I am looking for help,phrase
w_0125,yo busco agua,I am looking for water,phrase
w_0126,yo busco informacion,I am looking for information,phrase
w_0127,yo busco un descanso,I am looking for a break,phrase
w_0128,yo busco el billete,I am looking for the ticket,phrase
w_0129,yo busco la direccion,I am looking for the address,phrase
w_0130,yo busco la clave,I am looking for the password,phrase
w_0131,yo busco la respuesta,I am looking for the answer,phrase
w_0132,yo busco el numero,I am looking for the number,phrase
w_0133,yo busco el mapa,I am looking for the map,phrase
w_0134,yo recuerdo ayuda,I remember help,phrase
w_0135,yo recuerdo agua,I remember water,phrase
w_0136,yo recuerdo informacion,I remember information,phrase
w_0137,yo recuerdo un descanso,I remember a break,phrase
w_0138,yo recuerdo el billete,I remember the ticket,phrase
w_0139,yo recuerdo la direccion,I remember the address,phrase
w_0140,yo recuerdo la clave,I remember the password,phrase
w_0141,yo recuerdo la respuesta,I remember the answer,phrase
w_0142,yo recuerdo el numero,I remember the number,phrase
w_0143,yo recuerdo el mapa,I remember the map,phrase
w_0144,yo olvido ayuda,I forget help,phrase
w_0145,yo olvido agua,I forget water,phrase
w_0146,yo olvido informacion,I forget information,phrase
w_0147,yo olvido un descanso,I forget a break,phrase
w_0148,yo olvido el billete,I forget the ticket,phrase
w_0149,yo olvido la direccion,I forget the address,phrase
w_0150,yo olvido la clave,I forget the password,phrase
w_0151,yo olvido la respuesta,I forget the answer,phrase
w_0152,yo olvido el numero,I forget the number,phrase
w_0153,yo olvido el mapa,I forget the map,phrase
w_0154,yo aprendo ayuda,I learn help,phrase
w_0155,yo aprendo agua,I learn water,phrase
w_0156,yo aprendo informacion,I learn information,phrase
w_0157,yo aprendo un descanso,I learn a break,phrase
w_0158,yo aprendo el billete,I learn the ticket,phrase
w_0159,yo aprendo la direccion,I learn the address,phrase
w_0160,yo aprendo la clave,I learn the password,phrase
w_0161,yo aprendo la respuesta,I learn the answer,phrase
w_0162,yo aprendo el numero,I learn the number,phrase
w_0163,yo aprendo el mapa,I learn the map,phrase
w_0164,tu necesito ayuda,you need help,phrase
w_0165,tu necesito agua,you need water,phrase
w_0166,tu necesito informacion,you need information,phrase
w_0167,tu necesito un descanso,you need a break,phrase
w_0168,tu necesito el billete,you need the ticket,phrase
w_0169,tu necesito la direccion,you need the address,phrase
w_0170,tu necesito la clave,you need the password,phrase
w_0171,tu necesito la respuesta,you need the answer,phrase
w_0172,tu necesito el numero,you need the number,phrase
w_0173,tu necesito el mapa,you need the map,phrase
w_0174,tu quiero ayuda,you want help,phrase
w_0175,tu quiero agua,you want water,phrase
w_0176,tu quiero informacion,you want information,phrase
w_0177,tu quiero un descanso,you want a break,phrase
w_0178,tu quiero el billete,you want the ticket,phrase
w_0179,tu quiero la direccion,you want the address,phrase
w_0180,tu quiero la clave,you want the password,phrase
w_0181,tu quiero la respuesta,you want the answer,phrase
w_0182,tu quiero el numero,you want the number,phrase
w_0183,tu quiero el mapa,you want the map,phrase
w_0184,tu puedo ayuda,you can help,phrase
w_0185,tu puedo agua,you can water,phrase
w_0186,tu puedo informacion,you can information,phrase
w_0187,tu puedo un descanso,you can a break,phrase
